Top N Words::1 - 1000~~~TNW1

the	-T
of	-F
and	SKP
to	TO
a	AEU
in	TPH
that	THA
it	T
is	S
for	TP-R
was	WAS
I	EU
with	W
on	OPB
as	AS
have	SR
but	PWUT
be	-B
they	THE
are	-R
at	AT
by	PWEU
he	E
not	TPHOT
this	TH
we	WE
or	OR
do	TKO
from	TPR
an	APB
so	SO
were	WR
know	TPHOE
like	HRAOEUBG
all	AUL
there	THR
his	HEUS
about	PW
if	TP
has	HAS
what	WHA
just	SKWRUFT
yeah	KWR*E
my	PHEU
had	H
would	WO
more	PHOR
when	WHEPB
can	K
who	WHO
which	WEU
out	OUT
said	SED
their	THAEUR
no	TPHO
she	SHE
up	UP
been	PW-PB
think	THEU
well	WEL
than	THAPB
some	SOPL
will	HR
because	PWAU
other	OER
did	TK
me	PHE
her	HER
them	THEPL
also	HR-S
people	PAOEPL
time	TAOEUPL
get	TKPWET
right	RAOEUT
these	THEZ
its	EUTS
now	TPHOU
then	THEPB
could	KO
only	OEPBL
really	R-L
into	TPHAO
how	HOU
see	SAOE
most	PHOFT
after	AF
good	TKPWAOD
even	AOEPB
our	OUR
much	PHUFP
here	HAOER
where	W-R
over	OEFR
him	HEUPL
does	TKOS
any	TPHEU
go	TKPW
first	TPEURS
years	KWRAOERS
those	THOZ
way	WAEU
too	TAO
may	PHAE
very	SRE
many	PHAEPB
going	TKPWOG
new	TPHU
should	SHO
such	SUFP
used	AOUFD
make	PHAEUBG
got	TKPWOT
work	WORBG
year	KWRAOER
say	SAEU
last	HRAFT
back	PWABG
still	STEUL
between	TWAOEPB
something	S-G
little	HREUL
mean	PHAOEPB
both	PWO*T
each	AOEFP
before	PW-F
lot	HROT
being	-BG
same	SAEUPL
through	THRU
thing	THEUPBG
while	WHAOEUL
want	WAPBT
use	AOUS
things	THEUPBGS
down	TKOUPB
take	TAEUBG
made	PHAED
off	OF
kind	KAOEUPBD
cells	KRELS
never	TPHEFR
since	SEUPBS
data	TKAET
might	PHAOEUT
okay	OBG
day	TKAEU
another	TPHOER
different	TKEUFRPB
using	AOUFG
around	ARPBD
why	KWR
us	US
though	THOE
need	TPHAOED
says	SAEUS
during	TKURG
part	PART
number	TPHUPL
long	HROPBG
come	KOPL
found	TPOUPBD
under	TPH-PB
home	HOEPL
however	HOUF
own	OEPB
percent	PERS
every	EFR
probably	PROBL
always	AULS
few	TPAOU
less	HRES
against	TKPWEPBS
life	HRAOEUF
look	HRAOBG
thought	THAUT
actually	TWAEUL
find	TPAOEUPBD
put	PUT
study	STAO*UD
sure	SHUR
high	HAOEU
information	TPH-FGS
big	PWEUG
least	HRAOEFT
money	PHUPB
point	POEUPBT
world	WORLD
family	TPAEPL
show	SHOE
genes	SKWRAO*EPBS
end	EPBD
figure	TPEUG
today	TOED
yes	KWRE
real	RAEL
government	TKPWOFPLT
without	WOUT
story	STOER
next	TPHEGT
analysis	AEPBLS
pretty	PREUT
state	STAEUT
course	KORS
great	TKPWRAET
place	PHRAEUS
week	WAOEBG
expression	EBGS/PREGS
old	OLD
case	KAEUS
called	KAULD
again	TKPWEPB
system	S-PL
set	SET
went	WEPBT
children	KHEURPB
let	HRET
small	SPHAL
whether	WHR
ever	-FR
maybe	PHAEUB
results	RULTS
cell	KREL
once	WUPBS
must	PHUFT
although	HR*T
anything	TPHEUG
either	AOERT
school	SKAOL
several	SEFRL
days	TKAEUS
guess	TKPWES
gene	SKWRAOEPB
doing	TK*G
am	APL
enough	TPHUF
fact	TPABGT
company	K-P
having	SR-G
public	PHREUBG
second	SEBGD
until	TPH-L
group	TKPWRAOUP
patients	PAEURBZ
far	TPAR
important	PORPB
among	PHOPBG
control	KROEL
love	HR-F
name	TPHAEUPL
women	WEUPL
help	HEP
away	WA*EU
including	KHRUG
feel	TPAOEL
getting	TKPWEGT
done	TKOPB
give	TKPWEUF
yet	KWRET
man	PHAPB
report	RORP
bad	PWAD
human	HAOUPL
care	KAEUR
example	KP-PL
seems	SAOEPLS
whole	WHOEL
problem	PRO*B
stuff	STUF
seen	SAOEPB
read	RAED
times	TAOEUPLS
early	ERL
within	W-PB
country	KREU
